N	Adj	Num	Det
wheels	white	four	those
wheels	white	five	those
wheels	new	five	those
birds	brown	four	these
birds	brown	three	those
birds	brown	seven	those
birds	brown	eight	these
dogs	new	four	those
dogs	new	nine	these
dogs	big	six	these
dogs	new	six	these
dogs	new	six	these
dogs	new	six	these
dogs	black	six	these
dogs	new	six	those
dogs	brown	six	those
wheels	big	eight	these
wheels	white	two	these
wheels	big	two	those
wheels	new	two	these
wheels	small	two	those
wheels	big	two	those
dogs	new	seven	those
dogs	big	seven	these
dogs	white	seven	these
dogs	white	seven	these
wheels	black	seven	those
wheels	black	eight	those
wheels	black	six	these
wheels	black	six	these
wheels	grey	six	those
wheels	black	six	these
wheels	black	six	these
wheels	new	six	those
wheels	brown	six	these
wheels	white	six	those
wheels	new	six	these
wheels	white	six	these
dogs	old	six	those
dogs	old	six	these
dogs	old	six	these
dogs	old	six	these
dogs	old	six	those
dogs	old	six	those
dogs	old	six	these
dogs	old	six	those
dogs	old	six	these
dogs	old	six	these
dogs	old	six	these
dogs	old	six	those
dogs	old	six	those
dogs	old	six	these
dogs	old	six	these
dogs	old	six	these
dogs	old	six	those
dogs	old	six	those
dogs	old	six	these
dogs	old	seven	these
dogs	old	two	these
dogs	old	two	these
dogs	old	six	those
dogs	old	seven	these
dogs	old	seven	those
dogs	black	five	these
dogs	new	five	those
dogs	black	five	those
dogs	small	five	these
dogs	small	five	these
dogs	big	five	those
dogs	big	five	those
dogs	new	five	these
dogs	new	five	those
birds	grey	nine	those
birds	grey	nine	those
birds	brown	nine	these
birds	grey	nine	those
birds	old	nine	those
birds	old	nine	these
birds	white	nine	those
birds	brown	nine	those
birds	brown	nine	these
birds	brown	nine	these
birds	big	nine	those
birds	grey	nine	these
cars	black	eight	those
cars	black	four	these
cars	black	four	those
cars	black	seven	these
cars	big	seven	those
cars	black	seven	those
cars	brown	seven	these
cats	brown	nine	these
cats	grey	nine	these
cats	new	nine	those
cats	small	seven	those
cats	small	seven	those
cats	small	nine	these
cats	small	nine	those
cats	small	nine	those
cats	small	nine	those
cats	small	nine	those
cats	small	four	those
cats	small	three	these
cats	small	three	these
cats	small	nine	those
cats	small	three	these
cats	small	two	those
cats	small	nine	these
cats	small	five	these
cats	small	three	those
cats	small	seven	these
cats	small	two	these
cats	small	three	these
cats	small	four	these
cats	small	five	these
cats	small	five	those
cats	small	six	those
cats	small	nine	those
cats	small	two	these
cats	small	four	those
cats	small	three	these
cats	small	four	these
cats	small	two	those
cats	small	seven	these
cats	small	eight	those
cats	small	eight	those
cats	small	eight	those
cats	small	eight	those
dogs	old	seven	these
dogs	old	five	those
dogs	old	seven	those
dogs	old	six	these
dogs	old	seven	these
dogs	old	seven	these
dogs	old	seven	these
dogs	old	six	those
dogs	old	six	those
dogs	old	seven	these
dogs	old	five	those
dogs	old	seven	these
dogs	old	two	these
dogs	old	six	those
dogs	old	five	those
dogs	old	two	these
dogs	old	eight	these
dogs	old	five	those
dogs	old	six	those
dogs	old	seven	those
dogs	old	six	these
dogs	old	six	these
dogs	old	five	those
dogs	old	two	these
dogs	old	seven	those
dogs	old	five	those
dogs	old	seven	these
dogs	old	eight	these
dogs	old	six	those
dogs	old	six	these
dogs	old	eight	these
dogs	old	eight	these
dogs	old	five	these
dogs	old	six	those
dogs	old	five	those
dogs	old	five	these
dogs	old	six	these
dogs	old	five	those
dogs	old	two	these
dogs	old	five	those
dogs	old	six	these
dogs	old	three	these
dogs	old	seven	these
dogs	old	seven	these
dogs	old	seven	those
dogs	old	seven	these
dogs	old	five	those
dogs	old	six	those
dogs	old	five	these
dogs	old	seven	these
dogs	old	six	these
dogs	old	six	these
dogs	old	five	these
dogs	old	five	those
dogs	old	three	those
dogs	old	five	these
dogs	old	three	those
dogs	old	four	those
dogs	old	seven	these
dogs	old	five	these
dogs	old	seven	those
dogs	old	five	those
dogs	old	six	those
dogs	old	three	those
dogs	old	three	those
dogs	old	three	these
dogs	old	seven	these
dogs	old	eight	these
dogs	old	seven	those
dogs	old	seven	these
dogs	old	two	these
dogs	old	three	those
dogs	old	three	these
dogs	old	three	these
dogs	old	two	these
dogs	old	five	these
dogs	old	three	those
dogs	old	five	those
dogs	old	nine	those
dogs	old	five	these
dogs	old	five	those
dogs	old	three	these
dogs	old	six	these
dogs	old	three	those
dogs	old	nine	those
dogs	old	six	those
dogs	old	six	those
dogs	old	three	those
dogs	old	nine	those
dogs	old	two	these
dogs	old	eight	these
dogs	old	eight	these
dogs	old	six	these
dogs	old	nine	those
dogs	old	eight	those
dogs	old	four	those
dogs	old	eight	these
dogs	old	two	these
dogs	old	two	these
dogs	old	six	these
dogs	old	two	these
dogs	old	four	these
dogs	old	three	those
dogs	old	two	these
dogs	old	seven	these
dogs	old	five	these
dogs	old	four	those
